"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-07","52",,"32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-08","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-10","60",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-11","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-12","54",,"34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-17","52",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-18","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-20","66",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-21","64",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-22","57",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-23","51","72",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-25","51","64",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-27","55","68","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-28","51","64",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-29","49",,"39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-09-30","62",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-01","53",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-02","55",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-03","51",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-04","53",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-05","55",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-06","58",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-07","55","68","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-08","55","68",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-09","46",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-10","51",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-11","51","63","41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-12","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-13","67",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-14","54",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-15","54","59",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-16","55",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-17","57",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-18","64","82",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-19","57",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-20","56","66","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-21","51",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-22","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-23","57",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-24","55","72","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-25","55",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-26","56",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-27","61","77",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-28","62",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-29","59",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-30","55","77","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-10-31","50",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-01","57",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-02","51","75","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-03","55","66","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-04","67",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-05","60","81","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-06","63",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-07","58","84",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-08","66","79","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-09","56",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-11","53",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-12","60",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-13","69",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-14","69","84",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-15","69","84","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-16","54",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-17","68",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-18","71",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-19","67",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-20","64",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-21","60",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-23","71",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-24","76",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-25","67",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-26","79",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-27","69",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-28","63","90",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-29","61",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-11-30","66","77",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-01","72",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-02","74","90","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-03","63","81","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-04","62",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-05","58","81","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-06","56","77",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-07","63",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-08","66","81","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-09","65",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-10","72",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-11","73","90",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-12","66",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-13","60",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-14","66",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-15","77",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-17","70",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-18","68",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-19","78","88","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-20","71",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-21","68","82","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-22","62","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-23","64",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-24","62",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-25","62",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-26","66",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-27","68","82","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-28","68",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-29","75",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-12-31","72","90",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-01","69",,"57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-02","64","79","59"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-03","72",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-04","67","84","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-05","63",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-06","70","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1974-01-07","71",,"54"
